Plasma,Perc_occ
1890,81.0
2379,63.8
2326,76.4
3863,94.8
2425,68.9
2976,77.1
217,46.5
317,54.1
246,49.8
187,46.3
166,58.4
211,11.2
243,48.6
431,53.7
191,20.0
208,32.7
31,4.9
31,15.3
24,11.2
