Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,42.540001,43.080002,42.509998,42.790001,36.397793,23309100
2017-04-17,42.790001,43.790001,42.779999,43.070000,36.635960,63064900
2017-04-24,43.240002,43.430000,42.820000,43.150002,36.704006,69799500
2017-05-01,43.150002,43.840000,43.099998,43.689999,37.163349,53747200
2017-05-08,43.590000,43.910000,43.360001,43.590000,37.078285,44712300
2017-05-15,43.459999,44.169998,43.459999,43.900002,37.341972,59114900
2017-05-22,43.889999,45.560001,43.810001,45.389999,38.609390,65637900
2017-05-29,45.160000,45.889999,45.110001,45.889999,39.034695,48214500
2017-06-05,45.779999,46.060001,44.970001,45.320000,38.549854,54866000
2017-06-12,45.320000,45.480000,44.799999,45.310001,38.541332,69683400
2017-06-19,45.349998,45.869999,45.029999,45.250000,38.807064,49052500
2017-06-26,45.320000,45.509998,44.650002,44.849998,38.464020,47034400
2017-07-03,45.110001,45.270000,44.240002,44.389999,38.069511,35967100
2017-07-10,44.450001,44.770000,44.150002,44.680000,38.318222,42640700
2017-07-17,44.660000,45.070000,44.549999,45.029999,38.618382,39189200
2017-07-24,45.040001,46.430000,44.310001,46.009998,39.458843,63949300
2017-07-31,46.000000,46.080002,45.380001,45.500000,39.021473,57902600
2017-08-07,45.520000,45.900002,45.330002,45.590000,39.098644,38868700
2017-08-14,45.669998,46.340000,45.619999,45.669998,39.167255,45503400
2017-08-21,45.669998,45.799999,45.310001,45.570000,39.081493,42836300
2017-08-28,45.630001,45.799999,45.250000,45.779999,39.261593,44576900
2017-09-04,45.750000,46.369999,45.650002,46.299999,39.707561,39108900
2017-09-11,46.349998,46.980000,45.939999,46.180000,39.604641,59126100
2017-09-18,46.150002,46.240002,45.360001,45.490002,39.323311,42439900
2017-09-25,45.500000,45.869999,44.380001,45.009998,38.908390,49383300
2017-10-02,45.049999,45.750000,44.750000,45.490002,39.323311,52459400
2017-10-09,45.549999,46.380001,45.340000,46.180000,39.919773,33053100
2017-10-16,46.119999,46.790001,46.099998,46.380001,40.092663,43842500
2017-10-23,46.380001,46.759998,45.910000,46.070000,39.824692,49244400
2017-10-30,46.000000,46.169998,45.630001,45.970001,39.738243,33878200
2017-11-06,45.910000,46.639999,45.310001,46.540001,40.230976,39461500
2017-11-13,46.599998,47.480000,45.250000,45.709999,39.513493,69500500
2017-11-20,45.650002,46.049999,45.419998,45.880001,39.660450,40872400
2017-11-27,45.880001,46.150002,45.029999,45.970001,39.738243,60200500
2017-12-04,45.990002,46.480000,45.049999,45.310001,39.488831,61693500
2017-12-11,45.310001,46.419998,44.919998,46.189999,40.255775,66327300
2017-12-18,46.200001,46.380001,45.549999,45.590000,39.732853,40784400
2017-12-25,45.700001,46.180000,45.610001,45.880001,39.985603,26671400
2018-01-01,45.910000,46.220001,45.340000,46.070000,40.151196,49330300
2018-01-08,45.950001,46.389999,45.860001,46.150002,40.220913,49885000
2018-01-15,46.150002,47.250000,46.139999,47.160000,41.101151,56742700
2018-01-22,47.139999,48.619999,47.090000,48.529999,42.295143,65431800
2018-01-29,48.209999,48.459999,46.630001,46.730000,40.726395,58219200
2018-02-05,46.650002,46.919998,42.189999,43.130001,37.588905,112635800
2018-02-12,43.560001,45.639999,43.369999,44.980000,39.201225,71979700
2018-02-19,44.750000,44.830002,43.220001,44.040001,38.382000,47585200
2018-02-26,44.230000,44.389999,42.820000,43.720001,38.103111,69214000
2018-03-05,43.570000,44.820000,43.470001,44.820000,39.061790,55024600
2018-03-12,44.950001,45.090000,43.450001,43.459999,37.876507,77581000
2018-03-19,43.459999,43.709999,42.290001,42.330002,37.217350,64743400
2018-03-26,42.610001,43.919998,42.250000,43.430000,38.184490,49631000
2018-04-02,43.439999,44.610001,42.470001,43.919998,38.615307,66458700
2018-04-09,44.029999,44.689999,43.720001,44.509998,39.134041,49967800
2018-04-16,44.650002,45.029999,43.580002,43.740002,38.457047,49858600
2018-04-23,43.740002,44.099998,41.910000,43.310001,38.078983,74516000
2018-04-30,43.500000,43.689999,41.520000,42.360001,37.243721,70586700
2018-05-07,42.340000,42.490002,41.669998,42.139999,37.050304,47949500
2018-05-14,42.250000,42.380001,41.450001,42.180000,37.085468,65563300
2018-05-21,42.310001,42.599998,41.930000,42.400002,37.278896,44380600
2018-05-28,42.119999,43.320000,42.099998,43.119999,37.911926,51177100
2018-06-04,43.360001,44.000000,43.040001,43.950001,38.641689,54933300
2018-06-11,43.950001,44.520000,43.450001,44.119999,38.791138,66773100
2018-06-18,43.880001,43.959999,42.959999,43.250000,38.364887,61381600
2018-06-25,43.160000,44.099998,42.990002,43.860001,38.905998,65554200
2018-07-02,43.779999,44.939999,43.580002,44.639999,39.597889,37833700
2018-07-09,44.540001,45.000000,44.340000,44.740002,39.686604,37612300
2018-07-16,44.730000,45.430000,44.529999,45.279999,40.165611,43461100
2018-07-23,45.279999,46.590000,44.610001,46.209999,40.990562,67362400
