Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,24.530001,24.674999,23.872499,23.872499,23.587660,92098400
2017-04-17,24.002501,25.447500,23.950001,25.420000,25.116693,199414800
2017-04-24,25.740000,26.495001,25.527500,26.075001,25.763882,175521200
2017-05-01,26.184999,26.712500,25.639999,25.965000,25.655193,171282400
2017-05-08,26.084999,32.607498,25.577499,31.972500,31.591009,624442000
2017-05-15,32.389999,34.555000,31.762501,34.000000,33.594315,565401200
2017-05-22,34.442501,36.320000,33.927502,35.459999,35.073799,372122000
2017-05-29,35.924999,36.750000,35.512501,35.910000,35.518902,286776400
2017-06-05,35.744999,42.125000,35.627499,37.400002,36.992672,704338800
2017-06-12,36.470001,38.692501,35.527500,37.904999,37.492172,644346000
2017-06-19,38.352501,40.435001,38.305000,38.457500,38.038658,411399200
2017-06-26,38.790001,39.150002,35.875000,36.139999,35.746399,485388400
2017-07-03,36.262501,36.875000,34.645000,36.689999,36.290401,293051600
2017-07-10,37.435001,41.575001,37.169998,41.237499,40.788368,517273600
2017-07-17,41.582500,42.325001,40.325001,42.025002,41.567303,374240400
2017-07-24,42.097500,42.482498,39.389999,41.097500,40.649899,308568800
2017-07-31,41.235001,42.517502,40.154999,41.802502,41.347214,250101600
2017-08-07,42.097500,43.639999,38.227501,38.990002,38.565357,482881600
2017-08-14,39.917500,42.417500,39.799999,40.375000,39.935280,376683200
2017-08-21,40.622501,41.820000,39.342499,40.952499,40.506477,248054800
2017-08-28,41.145000,42.974998,40.564999,42.615002,42.187988,215610800
2017-09-04,42.095001,42.145000,40.677502,40.922501,40.512436,194476000
2017-09-11,41.384998,45.027500,41.330002,45.027500,44.576298,343839600
2017-09-18,46.285000,47.799999,44.402500,44.750000,44.301586,485049200
2017-09-25,44.437500,44.932499,42.540001,44.692501,44.244667,376825600
2017-10-02,45.200001,45.500000,44.250000,45.325001,44.870827,207782400
2017-10-09,45.697498,48.750000,45.507500,48.647499,48.160034,322489600
2017-10-16,48.950001,49.897499,48.112499,49.224998,48.731747,264494400
2017-10-23,49.445000,50.467499,47.792500,50.465000,49.959328,255903600
2017-10-30,50.465000,52.492500,50.305000,52.172501,51.649719,211448800
2017-11-06,51.799999,54.667500,50.092499,54.035000,53.493546,357245200
2017-11-13,54.035000,54.292500,51.950001,52.840000,52.310524,257104800
2017-11-20,52.997501,54.250000,52.625000,54.240002,53.696503,133266800
2017-11-27,54.327499,54.340000,47.807499,49.419998,48.958775,396775200
2017-12-04,50.012501,50.075001,45.145000,47.872501,47.425728,369884000
2017-12-11,48.014999,48.695000,46.150002,47.889999,47.443066,249024400
2017-12-18,48.299999,49.517502,47.812500,48.817501,48.361912,190680400
2017-12-25,48.257500,49.992500,47.955002,48.375000,47.923538,120478000
2018-01-01,48.945000,54.512501,48.625000,53.849998,53.347443,243371200
2018-01-08,55.099998,56.567501,54.000000,55.744999,55.224754,272682800
2018-01-15,56.012501,57.772499,54.172501,57.527500,56.990631,225876800
2018-01-22,57.607498,60.834999,57.025002,60.832500,60.264771,253238400
2018-01-29,60.685001,62.317501,57.792500,58.380001,57.835159,274221200
2018-02-05,56.750000,59.722500,51.000000,58.020000,57.478527,590154000
2018-02-12,58.840000,62.500000,56.257500,60.959999,60.391087,380024000
2018-02-19,61.187500,62.992500,59.875000,61.482498,60.908714,252819600
2018-02-26,61.950001,62.227501,55.462502,59.134998,58.619530,340141200
2018-03-05,58.627499,61.462502,57.380001,61.332500,60.797871,275622800
2018-03-12,61.750000,63.625000,61.509998,62.619999,62.074139,253173600
2018-03-19,62.044998,63.000000,58.130001,58.242500,57.734802,299397200
2018-03-26,59.500000,62.500000,54.250000,57.897499,57.392818,388295600
2018-04-02,57.185001,58.662498,53.267502,53.562500,53.095592,374292000
2018-04-09,54.200001,59.377499,53.650002,57.875000,57.370510,281840000
2018-04-16,57.942501,59.812500,56.700001,57.177502,56.679104,204757600
2018-04-23,57.357498,57.875000,52.575001,56.582500,56.089275,220726800
2018-04-30,56.747501,59.797501,55.549999,59.764999,59.244034,169368400
